item.minecraft.wither_skeleton_spawn_egg,Ramen Stock,Ramen Stock,Ramen Stock,,Ramen Stock,Бульон для рамэна,Vývar na ramen,Ramen-Brühe,Bouillon de ramen,Caldo de ramen,Ramen Suyu,Caldo de Ramen Tonkotsu,拉面汤底,Ramen suppe,,Бульйон для рамену,Stock fer noodle soup,Succo di Ramen,ʞɔoʇS uǝɯɐᴚ,Rame-Bouillon,ramin,Rámen,Spiced Flour String Gravy,Ramen Stock
item.minecraft.enderman_spawn_egg,Flour,Flour,Flour,,Flour,Мука,Mouka,Mehl,Farine,Harina,Un,Harina,面粉,Mel,Mąka,Борошно,Flour,Farina,ɹnoꞁℲ,Mähl,powdr dus,Liszt,Flour,Flour
item.minecraft.magma_cube_spawn_egg,Bag of Flour,Bag of Flour,Bag of Flour,,Bag of Flour,Мешок муки,Pytel mouky,Mehlpackung,Sac de farine,Saco de harina,Un Torbası,Bolsa de harina,一袋面粉,Melpose,Opakowanie mąki,Пачка борошна,Sack o' flour,Sacco di Farina,ɹnoꞁℲ ɟo ᵷɐᗺ,Mählpackig,bag for powdr dus,Liszteszsák,Bag of Flour,Bag of Flour
item.minecraft.wheat_seeds,Wheat Grain,Wheat Grain,Wheat Grain,,Wheat Grain,Пшеничное зерно,Pšeničné zrno,Weizenkörner,Grain de blé,Trigo en grano,Buğday Tanesi,Granos de trigo,小麦籽粒,hvedekerne,Ziarno pszenicy,Насіння пшениці,Grain o' wheat,Chicco di Grano,uᴉɐɹ⅁ ʇɐǝɥM,Weizekörnli,weet smol,Gabonamagvak,Wheat grist,Wheat Grain
item.minecraft.beetroot_soup,Milk Bottle,Milk Bottle,Milk Bottle,,Milk Bottle,Бутылка молока,Láhev mléka,Milchflasche,Bouteille de lait,Botella con leche,Süt Şişesi,Frasco con leche,牛奶瓶,mælkeflaske,Butelka Mleka,Пляшка молока,Bottle o' bovine's juice,Bottiglia di Latte,ǝꞁʇʇoᗺ ʞꞁᴉW,Milchfläsche,melk bottl,Tejesüveg,Milk Flash,Milk Bottle
item.minecraft.beetroot,Tomatoes,Tomatoes,Tomatoes,,Tomatoes,Томаты,Rajčata,Tomaten,Tomates,Tomates,Domates,Tomates,番茄,Tomater,Pomidory,Помідори,Tomarrrtoes,Pomodoro,sǝoʇɐɯo⟘,Tomate,red orbz,Paradicsom,Loveapples,Tomatoes
item.minecraft.beetroot_seeds,Tomato Seeds,Tomato Seeds,Tomato Seeds,,Tomato Seeds,Семена томата,Rajčatové semínka,Tomatensamen,Graines de tomates,Semillas de tomate,Domates Tohumu,Semillas de tomate,番茄种子,Tomat frø,Nasiona pomidora,Насіння помідорів,Seeds o' tomarrrto,Semi di Pomodoro,spǝǝS oʇɐɯo⟘,Tomatesame,tomato babiez,Paradicsom magvak,Loveapple Seeds,Tomato Seeds
block.minecraft.campfire,Kindling,Kindling,Kindling,,Kindling,Костёр,Vatra,Anzündholz,Petit bois,Leña,Çıra,Leña,引火柴,Brænde,Podpałka,Хмиз,Kindling,Innesco,ᵷuᴉꞁpuᴉꞰ,Ahzündhölzli,smol fire wod,Tűzrakó,Kindling,Kindling
block.minecraft.soul_campfire,Soul Kindling,Soul Kindling,Soul Kindling,,Soul Kindling,Костёр душ,Vatra s ohněm duší,Seelen-Anzündholz,Petit bois des âmes,Leña de almas,Ruh Çırası,Leña de almas,灵魂引火柴,Sjæle Brænde,Podpałka z duszy,Хмиз душ,Kindling o' spirit,Innesco d'Anime,ᵷuᴉꞁpuᴉꞰ ꞁnoS,Seele-Anzündhölzli,spoky fire wod,Lélektűzrakó,Soul Kindling,Soul Kindling
item.kleispack.beacon_kindling,Beacon Kindling,Beacon Kindling,Beacon Kindling,,Beacon Kindling,Сигнальный костёр,Signální oheň,Signalfeuer-Anzündholz,Petit bois de balise,Leña humeante,İşaretli Çıra,Leña humeante,信标引火物,Signal Brænde,,Сигнальне багаття,Seamark kindling,Innesco del Faro,ᵷuᴉꞁpuᴉꞰ uoɔɐǝᗺ,Signalfüür-Anzündhölzli,beecon fire wod,Jelzőtűz,Beacon Kindling,Beacon Kindling
block.minecraft.furnace,Oven,Oven,Oven,,Oven,Духовка,Pec,Ofen,Four,Horno,Fırın,Horno,烤炉,Ovn,Piekarnik,Духовка,Galley oven,Fornace,uǝʌO,Ofe,HOT BOKS,Sütő,Oven,Oven
block.minecraft.smoker,Mud Kiln,Mud Kiln,Mud Kiln,,Mud Kiln,Жаровня,Hliněná pec,Lehmofen,Four en terre cuite,Horno de barro,Çamur Ocak,Horno de adobe,泥窑,Mudder Brændingsovn,,Глиняна піч,Oven o' mud,Fornace in Fango,uꞁᴉꞰ pnW,Lähmofe,MUD HOT BOKS,Sárkemence,Mud Kiln,Mud Kiln
container.inventory,,,,,,,,,,,,,,,,,,,,,,,,
container.chest,§0Chest,§0Chest,§0Chest,,§0Chest,§0Сундук,§0Truhla,§0Truhe,§0Coffre,§0Cofre,§0Sandık,§0Cofre,§0箱子,§0Kiste,§0Skrzynka,§0Скриня,§0Coffer,§0Baule,§0ʇsǝɥƆ,§0Chiste,§0Chezt,§0Láda,§0Chest,§0Chest
container.loom,§0Loom,§0Loom,§0Loom,,§0Loom,§0Ткацкий станок,§0Tkalcovský stav,§0Webstuhl,§0Métier à tisser,§0Telar,§0Dokuma Tezgahı,§0Telar,§0织布机,§0Væv,§0,§0Ткацький верстат,§0Sewin' station,§0Telaio,§0ɯooꞀ,§0Webstuel,§0Weavy Bluk,§0Szövőszék,§0Loom,§0Loom
container.crafting,,,,,,,,,,,,,,,,,,,,,,,,
container.furnace,Oven,Oven,Oven,,Oven,Духовка,Pec,Ofen,Four,Horno,Fırın,Horno,烤炉,Ovn,Piekarnik,Духовка,Galley oven,Fornace,uǝʌO,Ofe,HOT BOX,Sütő,Oven,Oven
container.smoker,Mud Kiln,Mud Kiln,Mud Kiln,,Mud Kiln,Жаровня,Hliněná pec,Lehmofen,Four en terre cuite,Horno de barro,Çamur Ocak,Horno de adobe,泥窑,Mudderovn,,Глиняна піч,Oven o' mud,Fornace in Fango,uꞁᴉꞰ pnW,Lähmofe,MUD HOT BOX,Sárkemence,Mud Kiln,Mud Kiln
block.minecraft.brewing_stand,Chemistry Stand,Chemistry Stand,Chemistry Stand,,Chemistry Stand,Алхимическая стойка,Chemický stojan,Chemiestand,Alambic,Alambique,Kimya Standı,Soporte de química,化学实验台,Kemistativ,Stojak chemiczny,Лабораторна стійка,Mixin' station,Alambicco,puɐʇS ʎɹʇsᴉɯǝɥƆ,Chemieständli,potionz go brrrr,Báital Kifőzde,Brewing Stand,Chemistry Stand
container.brewing,§0Chemistry Stand,§0Chemistry Stand,§0Chemistry Stand,,§0Chemistry Stand,§0Алхимическая стойка,§0Chemický stojan,§0Chemiestand,§0Alambic,§0Alambique,§0Kimya Standı,§0Soporte de química,§0化学实验台,§0Kemistativ,§0Stojak chemiczny,§0Лабораторна стійка,§0Mixin' station,§0Alambicco,§0puɐʇS ʎɹʇsᴉɯǝɥƆ,§0Chemieständli,§0potionz go brrrr,§0Báiatl Kifőzde,§0Brewing Stand,§0Chemistry Stand
item.minecraft.brewing_stand,Chemistry Stand,Chemistry Stand,Chemistry Stand,,Chemistry Stand,Алхимическая стойка,Chemický stojan,Chemiestand,Alambic,Alambique,Kimya Standı,Soporte de química,化学实验台,Kemistativ,Stojak chemiczny,Лабораторна стійка,Mixin' station,Alambicco,puɐʇS ʎɹʇsᴉɯǝɥƆ,Chemiständli,potionz go brrrr,Báital Kifőzde,Brewing Stand,Chemistry Stand
container.cartography_table,,,,,,,,,,,,,,,,,,,,,,,,
container.upgrade,,,,,,,,,,,,,,,,,,,,,,,,
container.shulkerBox,Sack,Sack,Sack,,Sack,Сумка,Vak,Sack,Sacoche,Saco grande,Çuval,Bolso,皮革袋,sæk,Worek,Мішок,Sack,Sacca,ʞɔɐS,Säckli,bag o stuff,Zsák,Bag,Sack
item.minecraft.smithing_template.netherite_upgrade.additions_slot_description,Add Alloy,Add Alloy,Add Alloy,,Add Alloy,Поместите сплав,Přidej slitinu,Legierung hinzufügen,Ajouter alliage,Pon una aleación,Alaşım ekle,Añadir aleación,放入合金,Tilføj legering,Dodaj stop,Додайте сплав,Add alloy,Aggiungi Lega,ʎoꞁꞁⱯ ppⱯ,Legierig dezue gäh,puted da fancy metel her,Övezet Hozzáadása,Eke Mix,Add Alloy
item.minecraft.smithing_template.netherite_upgrade.applies_to,Base-metal Equipment,Base-metal Equipment,Base-metal Equipment,,Base-metal Equipment,Снаряжению из базового металла,Náčiní ze základních kovů,Basismetall-Ausrüstung,Matériau d'origine,Equipamiento de metal base,Temel Metal Ekipmanları,Equipamiento de material base,基础金属装备,Basemetal Udstyr,Sprzęt z metali nieszlachetnych,Спорядження з основного металу,Equipment o' base metal,Equipaggiamento in Metallo Comune,ʇuǝɯdᴉnbƎ ꞁɐʇǝɯ-ǝsɐᗺ,Basismetall Usrüstig,normel metel stabby bonk tolz K?,Alapfém Felszerelés,Gear of Foundational Ore,Base-metal Equipment
item.minecraft.smithing_template.netherite_upgrade.base_slot_description,Add armor weapon or tool,Add armor weapon or tool,Add armor weapon or tool,,Add armour weapon or tool,"Поместите броню, оружие или инструмент","Přidej zbroj, zbraň nebo nástroj","Rüstung, Waffe oder Werkzeug hinzufügen","Ajouter arme, armure, ou outil","Pon una armadura, arma o herramienta","Zırh, silah veya alet ekle","Añade una armadura, arma o herramienta",放入盔甲、武器或工具,"Tilføg Rustning, Våben eller Redskaber","Dodaj armor, broń lub narzędzie","Додайте обладунки, зброю або інструмент","Add armour, cutlass, o' tool",Aggiungi armatura arma o strumento,ꞁooʇ ɹo uodɐǝʍ ɹoɯɹɐ ppⱯ,"Rüstig, Waffe oder Werkzüüg dezue gäh",puted da bonk thin her,"Páncél, Fegyver vagy Eszköz hozzáadása","Eke harweed, weapon or tool",Add armor weapon or tool
item.minecraft.smithing_template.netherite_upgrade.ingredients,Any Alloy,Any Alloy,Any Alloy,,Any Alloy,Любой сплав,Jakákoliv slitina,Jegliche Legierung,N'importe quel alliage,Cualquier aleación,Herhangi bir alaşım,Cualquier aleación,任意合金,Enhver Legering,Jakikolwiek stop,Будь-який сплав,Any alloy,Qualunque Lega,ʎoꞁꞁⱯ ʎuⱯ,Irgend e Legierig,some fancy metel K?,Bármilyen Övezet,Any Mix,Any Alloy
item.minecraft.netherite_upgrade_smithing_template.new,Smithing Upgrade Template,Smithing Upgrade Template,Smithing Upgrade Template,,Smithing Upgrade Template,Кузнечный шаблон,Kovářská předloha pro vylepšení,Aufwertungs-Schmiedevorlage,Modèle de forge,Molde de mejora de herrería,Demircilik Yükseltme Şablonu,Molde de mejora de herrería,锻造升级模板,Smedeopgraderings Skabelon,,Ковальський шаблон,Captain's upgrade template o' smithing,Schema di Forgiatura,ǝʇɐꞁdɯǝ⟘ ǝpɐɹᵷd∩ ᵷuᴉɥʇᴉɯS,Aufwärtigs-Schmiedevorlag,metel upgrade papr,Kovácssablon Fejlesztés,Smithing Bettering Forebisen,Smithing Upgrade Template
container.upgrade.missing_template_tooltip,Add Smithing Template or Base Metal,Add Smithing Template or Base Metal,Add Smithing Template or Base Metal,,Add Smithing Template or Base Metal,Поместите кузнечный шаблон или базовый металл,Přidej kovářskou předlohu nebo základní kov,Füge Schmiedevorlage oder Basismetall hinzu,Ajouter modèle de forge ou matériau d'origine,Pon un molde de herrería o un metal base,Demircilik Şablonu veya Temel Metal ekle,Añade un molde de herrería o un material base,放入锻造模板或基础金属,Tilføj Smedeopgraderings Skabelon eller Basemetal,,Розмістіть ковальський шаблон або основний метал,"Add template o' smithing, or a base metal",Aggiungi Modello per la Forgia o Metallo Comune,ꞁɐʇǝW ǝsɐᗺ ɹo ǝʇɐꞁdɯǝ⟘ ᵷuᴉɥʇᴉɯS ppⱯ,Füeg e Schmiedevorlag oder Basismetall dezue,puted upgrade papr OR metel her plz?,Kovácssablon vagy Alapfém Hozzáadása,Eke Smithing Forebisen or Foundational Ore,Add Smithing Template or Base Metal
item.minecraft.nether_star,Divine Favour,Divine Favor,Divine Favour,,Divine Favour,Дар божеств,Přízeň bohů,Heilige Gunst,Faveur divine,Favor divino,İlahi Lütuf,Favor divino,神恩,Guddommelig Tjeneste,,Божественна милість,Favour o' the gods,Favore Divino,ɹnoʌɐℲ ǝuᴉʌᴉᗡ,Heiligi Gunscht,GOD LIKEZ U,Áldotkristály,Godly Favour,Divine Favour
item.minecraft.turtle_scute,Divine Fragment,Divine Fragment,Divine Fragment,,Divine Fragment,Божественный осколок,Božský úlomek,Heiliges Fragment,Fragment divin,Fragmento divino,İlahi Parça,Fragmento divino,神性碎片,Guddommelig Fragment,,Божественний уламок,Fragment o' divinity,Frammento Divino,ʇuǝɯᵷɐɹℲ ǝuᴉʌᴉᗡ,Heiliges Fragmänt,Tiny Pies O GOD,Áldotkristálydarabka,Godly Thrum,Divine Fragment
item.minecraft.turtle_helmet,Turtle Shellmet,Turtle Shellmet,Turtle Shellmet,,Turtle Shellmet,Черепаший шелом,Želma,Schutzkrötenpanzer,Caracasque,Casco de tortuga,Kaplumbağa Kabuğu,Caparazón de tortuga,龟壳盔,Skildpaddeskjold,,Черепашачий шолом,Helmet o' turtle's shell,Guscio-elmo di Tartaruga,ʇǝɯꞁꞁǝɥS ǝꞁʇɹn⟘,Schildkrottpanzer Helmli,TURTL bonk hat,Teknőssapi,Birdling Shelm,Turtle Shellmet
item.minecraft.honeycomb,Wax,Wax,Wax,,Wax,Воск,Vosk,Wachs,Cire,Cera,Balmumu,Cera,蜡,Voks,Wosk,Віск,Wax,Cera,xɐM,Wachs,bee goo,Viasz,Wax,Wax
item.kleispack.tallow,Tallow,Tallow,Tallow,,Tallow,Жир,Lůj,Talg,Suif,Sebo,Donyağı,Cebo,动物油脂,talg,Łój,Жир,Tallow,Sego,ʍoꞁꞁɐ⟘,Talg,fat goo,Faggyú,Tallow,Tallow
item.minecraft.glistering_melon_slice,Nazar,Nazar,Nazar,,Nazar,Назар,Nazar,Nazar,Nazar,Nazar,Nazar,Nazar,纳扎尔护符,Nazar,Nazar,Око Фатіми,Nazar,Nazar,ɹɐzɐN,Nazar,spoky eye ward,Nazar Drágakő,Warding Amulet,Nazar
item.minecraft.enchanted_book,§cHell-Bound Book,§cHell-Bound Book,§cHell-Bound Book,,§cHell-Bound Book,§cКнига из полымя,§Pekelná kniha,§cBuch der Verdammnis,§cLivre maudit,§cLibro condenado,§cCehennem Ciltli Kitap,§cLibro condenado,§c狱缚之书,§cHelvedsbundet Bog,§c,§cКнига пекельних пут,Book o' hell,§cLibro Infernale,§cʞooᗺ punoᗺ-ꞁꞁǝH,§cBuech vo de Verdammnis,§cBOOK FOR BAD IDEAZ,§cPokolátkozta Könyv,§cHell-Bound Book,§cHell-Bound Book
item.minecraft.emerald,Obol,Obol,Obol,,Obol,Обол,Obolos,Obolus,Obole,Obol,Obol,Óbolo,奥波勒,Obol,Obol,Обол,Obol,Obolo,ꞁoqO,Obolus,ancint moniez,Obol,Obol,Obol
block.minecraft.emerald_block,Block of Obol,Block of Obol,Block of Obol,,Block of Obol,Блок обола,Blok obolů,Obolusblock,Bloc d'obole,Bloque de obol,Obol Bloğu,Bloque de óbolos,奥波勒块,Blok af Obol,Blok obolu,Блок оболу,Chunk o' obol,Blocco d'Oboli,ꞁoqO ɟo ʞɔoꞁᗺ,Obolusblock,BIG ANCINT MONIEZ,Obol Blokk,Obol Clot,Block of Obol
block.minecraft.coal_ore,Coal Deposit,Coal Deposit,Coal Deposit,,Coal Deposit,Залежа угля,Uhelné ložisko,Kohlevorkommen,Gisement de charbon,Depósito de carbón,Kömür Yatağı,Yacimiento de carbón,煤矿床,Kuldepot,,Поклад вугілля,Deposit o' fuel,Deposito di Carbone,ʇᴉsodǝᗡ ꞁɐoƆ,Kohlevorkumme,koal pil,Széntelep,Coal Deposit,Coal Deposit
block.minecraft.deepslate_coal_ore,Deepslate Coal Deposit,Deepslate Coal Deposit,Deepslate Coal Deposit,,Deepslate Coal Deposit,Глубинносланцевая залежа угля,Hlubinné uhelné ložisko,Tiefenschiefer-Kohlevorkommen,Gisement de charbon des abîmes,Depósito de carbón abismal,Kayrak Taşı Kömür Yatağı,Yacimiento de carbón de pizarra profunda,深板岩煤矿床,Dybskifer Kuldepot,,Глибосланцевий поклад вугілля,Tough deposit o' fuel,Deposito di Carbone in Ardesia Profonda,ʇᴉsodǝᗡ ꞁɐoƆ ǝʇɐꞁsdǝǝᗡ,Tüfschiefer-Kohlevorkumme,deep koal pil,Mélypala Széntelep,Deepstone Coal Deposit,Deepslate Coal Deposit
block.minecraft.copper_ore,Native Copper,Native Copper,Native Copper,,Native Copper,Самородная медь,Přírodní měď,Gediegenes Kupfer,Cuivre natif,Cobre nativo,Doğal Bakır,Cobre nativo,自然铜,Naturlig Kobber,,Самородна мідь,Copper o' th' earth,Rame Nativo,ɹǝddoƆ ǝʌᴉʇɐN,Gedeegenes Kupfer,coppr ore but rr,Nyersréztelep,Uncombined Copper,Native Copper
block.minecraft.deepslate_copper_ore,Native Deepslate Copper,Native Deepslate Copper,Native Deepslate Copper,,Native Deepslate Copper,Глубинносланцевая самородная медь,Přírodní hlubinná měď,Gediegenes Tiefenschiefer-Kupfer,Cuivre natif des abîmes,Cobre nativo abismal,Doğal Kayrak Taşı Bakır,Cobre nativo de pizarra profunda,深板岩自然铜,Naturlig Dybskifer Kobber,,Глибосланцева самородна мідь,Tough copper o' th' earth,Rame Nativo in Ardesia Profonda,ɹǝddoƆ ǝʇɐꞁsdǝǝᗡ ǝʌᴉʇɐN,Gedeegenes Tüfschiefer-Kupfer,deep rr coppr,Mélypala Nyersréztelep,Uncombined Deepstone Copper,Native Deepslate Copper
block.minecraft.nether_gold_ore,Gilded Hellstone,Gilded Hellstone,Gilded Hellstone,,Gilded Hellstone,Позолоченный адский камень,Zlatonosný pekelkámen,Vergoldeter Höllstein,Pierre infernale dorée,Piedra infernal con oro incrustado,Yaldızlı Cehennem Taş,Roca infernal áurea,镀金狱石,Forgyldt Helvedssten,,Позолочений пекельний камінь,Shiny hellstone,Pietra Infernale Dorata,ǝuoʇsꞁꞁǝH pǝpꞁᴉ⅁,Vergoldete Höllestei,fancy hel rok,Aranyozott Pokolkő,Gilded Hellstone,Gilded Hellstone
block.minecraft.nether_quartz_ore,Sulfurous Hellstone,Sulfurous Hellstone,Sulphurous Hellstone,,Sulfurous Hellstone,Серный адский камень,Sirný pekelkámen,Schwefelhaltiger Höllstein,Pierre infernale soufrée,Piedra infernal,Kükürtlü Cehennem Taşı,Roca infernal sulfurosa,含硫狱石,Svovlholdig helvedssten,,Сірчистий пекельний камінь,Hellstone o' sulphur,Pietra Infernale Sulfurea,ǝuoʇsꞁꞁǝH snoɹnɟꞁnS,Schwefelhaltige Höllestei,stinky hel rok,Kénes Pokolkő,Brimstoned Hellstone,Sulphurous Hellstone
block.minecraft.redstone_ore,Sulfurous Quartz Deposit,Sulfurous Quartz Deposit,Sulphurous Quartz Deposit,,Sulfurous Quartz Deposit,Серная залежа кварца,Sirné ložisko křemene,Schwefelhaltiges Quartzvorkommen,Gisement de quartz soufré,Depósito de cuarzo azufroso,Kükürtlü Kuvars Yatağı,Yacimiento de cuarzo sulfuroso,含硫石英矿床,Svovlholdigt kvartsdepot,,Сірчистий поклад кварцу,Sulphurous deposit o' white rock,Deposito di Zolfo in Quarzo,ʇᴉsodǝᗡ zʇɹɐnꝹ snoɹnɟꞁnS,Schwefelhaltiges Quartzvorkumme,stinky shiny rok pil,Kénes Quartztelep,Brimstoned Quartz Deposit,Sulphurous Quartz Deposit
block.minecraft.deepslate_redstone_ore,Sulfur Deposit,Sulfur Deposit,Sulphur Deposit,,Sulfur Deposit,Серная залежа,Sirné ložisko,Schwefelvorkommen,Gisement de soufre,Depósito de azufre,Kükürt Yatağı,Yacimiento de azufre,硫矿床,Svovldepot,,Глибосланцевий поклад сірки,Deposit o' sulphur,Deposito di Zolfo,ʇᴉsodǝᗡ ɹnɟꞁnS,Schwefelvorkumme,stinky yella rokz,Kéntelep,Brimstone Deposit,Sulphur Deposit
block.minecraft.lapis_ore,Quartz Deposit,Quartz Deposit,Quartz Deposit,,Quartz Deposit,Залежа кварца,Ložisko křemene,Quartzvorkommen,Gisement de quartz ,Depósito de cuarzo,Kuvars Yatağı,Yacimiento de cuarzo,石英矿床,Kvartsdepot,,Поклад кварцу,Deposit o' white rock,Deposito di Quarzo,ʇᴉsodǝᗡ zʇɹɐnꝹ,Quartzvorkumme,blu rokz,Quartztelep,Quartz Deposit,Quartz Deposit
block.minecraft.deepslate_lapis_ore,Natural Lapis Lazuli,Natural Lapis Lazuli,Natural Lapis Lazuli,,Natural Lapis Lazuli,Натуральный лазурит,Přírodní lazurit,Natürliches Lapislazuli,Lapis-lazuli brut,Lapislázuli natural,Doğal Lapis Lazuli,Yacimiento de lapislázuli natural,天然青金石,Naturlig Lapis Lazuli,Naturalny Lapiz Lazuli,Природний лазурит,Lāzhward o' th' earth,Lapislazzuli Nativo,ᴉꞁnzɐꞀ sᴉdɐꞀ ꞁɐɹnʇɐN,Natürliches Lapislazuli,neturel blu rokz,Mély Lapis Lazuli,Uncombined Hewnstone,Natural Lapis Lazuli
block.minecraft.comparator,Electric Comparator,Electric Comparator,Electric Comparator,,Electric Comparator,Электрический компаратор,Elektrický porovnávač,Elektrischer Komparator,Comparateur électrique ,Comparador eléctrico,Elektrikli Karşılaştırıcı,Comparador eléctrico,电力比较器,Elektrisk Sammenligner,Elektryczny komparator,Електричний компаратор,Electric compaaratorrr,Comparatore Elettrico,ɹoʇɐɹɐdɯoƆ ɔᴉɹʇɔǝꞁƎ,Elektrischer Komparator,redston but spicy,Elektromos Komparátor,Sparkalne Comparator,Electric Comparator
block.minecraft.repeater,Electric Repeater,Electric Repeater,Electric Repeater,,Electric Repeater,Электрический повторитель,Elektrický zesilovač,Elektrischer Verstärker,Répéteur électrique,Repetidor eléctrico,Elektrikli Tekrarlayıcı,Repetidor eléctrico,电力中继器,Elektrisk Gentager,Elektryczny przekaźnik,Електричний повторювач,Electric repeatarrr,Ripetitore Elettrico,ɹǝʇɐǝdǝᴚ ɔᴉɹʇɔǝꞁƎ,Elektrischer Verstärker,REDSTON GO FAST,Elektromos Jelismétlő,Sparkalne Extender,Electric Repeater
block.minecraft.redstone_torch,Electric Inverter,Electric Inverter,Electric Inverter,,Electric Inverter,Электрический инвертор,Elektrický střídač,Elektrischer Umkehrer,Inverseur électrique,Inversor eléctrico,Elektrikli İnvertör,Inversor eléctrico,电力反相器,Elektrisk Vekselretter,Elektryczny falownik,Електричний інвертор,Electric inverterrr,Invertitore Elettrico,ɹǝʇɹǝʌuI ɔᴉɹʇɔǝꞁƎ,Elektrischer Umdrüller,redston do opposite,Elektromos Jelfordító,Sparkalne Inverter,Electric Inverter
block.minecraft.redstone_block,Electric Block,Electric Block,Electric Block,,Electric Block,Блок подачи электричества,Elektrický blok,Elektrischer Block,Bloc électrique,Bloque eléctrico,Elektrik Bloğu,Bloque eléctrico,电力块,Elektrisk Blok,Elektryczny blok,Електричний блок,Chunk o' electricity,Blocco Elettrico,ʞɔoꞁᗺ ɔᴉɹʇɔǝꞁƎ,Elektrischer Block,angry electricitie boks,Elektroblokk,Sparkalne Clot,Electric Block
block.minecraft.redstone_lamp,Electric Lamp,Electric Lamp,Electric Lamp,,Electric Lamp,Электрическая лампа,Elektrická lampa,Elektrische Lampe,Lampe electrique,Lámpara eléctrica,Elektrik Lambası,Lámpara eléctrica,电灯,Elektrisk Lampe,Elektyczna lampa,Електрична лампа,Electric lanterrrn,Lampada Elettrica,dɯɐꞀ ɔᴉɹʇɔǝꞁƎ,Elektrischi Lampe,electric lite go bzzzt,Lámpa,Sparkalne Light,Electric Lamp
